AREA,AREANAME,REGION
CMM-1,CENTRAL METRO MANILA 1,CMMR
CMM-2,CENTRAL METRO MANILA 2,CMMR
CMM-3,CENTRAL METRO MANILA 3,CMMR
CMM-4,CENTRAL METRO MANILA 4,CMMR
CMM-5,CENTRAL METRO MANILA 5,CMMR
CMM-6,CENTRAL METRO MANILA 6,CMMR
NMM-1,NORTH METRO MANILA 1,NMMR
NMM-2,NORTH METRO MANILA 2,NMMR
NMM-3,NORTH METRO MANILA 3,NMMR
NMM-4,NORTH METRO MANILA 4,NMMR
NMM-5,NORTH METRO MANILA 5,NMMR
NOL 1,NORTHERN LUZON 1,NOL
NOL 2,NORTHERN LUZON 2,NOL
NOL 3,NORTHERN LUZON 3,NOL
NOL 4,NORTHERN LUZON 4,NOL
NOL 5,NORTHERN LUZON 5,NOL
NOL 6,NORTHERN LUZON 6,NOL
NOL 7,NORTHERN LUZON 7,NOL
SMM-1,SOUTH METRO MANILA 1,SMMR
SMM-2,SOUTH METRO MANILA 2,SMMR
SMM-3,SOUTH METRO MANILA 3,SMMR
SMM-4,SOUTH METRO MANILA 4,SMMR
SMM-5,SOUTH METRO MANILA 5,SMMR
SMM-6,SOUTH METRO MANILA 6,SMMR
SOL 1,SOUTHERN LUZON 1,SOL
SOL 2,SOUTHERN LUZON 2,SOL
SOL 3,SOUTHERN LUZON 3,SOL
SOL 4,SOUTHERN LUZON 4,SOL
SOL 5,SOUTHERN LUZON 5,SOL
SOL 6,SOUTHERN LUZON 6,SOL
VISAYAS 1,VISAYAS 1,VISAYAS
VISAYAS 2,VISAYAS 2,VISAYAS
VISAYAS 3,VISAYAS 3,VISAYAS
VISAYAS 4,VISAYAS 4,VISAYAS
VISAYAS 5,VISAYAS 5,VISAYAS
VISAYAS 6,VISAYAS 6,VISAYAS
VISAYAS 7,VISAYAS 7,VISAYAS
VISAYAS 8,VISAYAS 8,VISAYAS
MINDANAO 1,MINDANAO 1,MINDANAO
MINDANAO 2,MINDANAO 2,MINDANAO
MINDANAO 3,MINDANAO 3,MINDANAO
MINDANAO 4,MINDANAO 4,MINDANAO
MINDANAO 5,MINDANAO 5,MINDANAO
MINDANAO 6,MINDANAO 6,MINDANAO
MINDANAO 7,MINDANAO 7,MINDANAO
HEAD OFFICE,HEAD OFFICE SMMR,SMMR
HEAD OFFICE,HEAD OFFICE MINDANAO,MINDANAO
