SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1609,0000,,,,,,,,0
1647,0588,HGS,CASH CENTER,GENERAL SANTOS CASH CENTER,00008-058-8,00008-058-8,CASH CENTER,GENERAL SANTOS CASH CENTER,52
1686,1062,WES,NMM-2,Q.C.-WEST TRIANGLE,01008-138-1,01008-138-1,NMMR,Q.C.-WEST TRIANGLE,3
1728,1226,ESW,NMM-3,QC-EASTWOOD to 1252,01008-014-6,01008-014-6,NMMR,QC-EASTWOOD to 1252,4
1768,1289,MLI,NMM-7,MARIKINA-LILAC,01008-283-0,01008-283-0,NMMR,MARIKINA-LILAC,8
1832,1461,NLP,SMM-8,LAS PIÑAS-NAGA ROAD,01008-266-5,01008-266-5,SMMR,LAS PIÑAS-NAGA ROAD,22
1908,1676,RMT,SMM-3,MANILA-ERMITA-ROXAS BLVD.,01008-007-8,01008-007-8,SMMR,MANILA-ERMITA-ROXAS BLVD.,17
1910,1678,ITM,CMM-5,MANILA-INTRAMUROS FORT SANTIAGO to 1679,01008-059-9,01008-059-9,CMMR,MANILA-INTRAMUROS FORT SANTIAGO to 1679,13
1911,1679,INT,SMM-1,MANILA-INTRAMUROS-CATHEDRAL,01008-202-1,01008-202-1,SMMR,MANILA-INTRAMUROS-CATHEDRAL,15
1912,1680,LNT,CMM-5,MANILA-LUNETA-T.M. KALAW,01008-090-0,01008-090-0,CMMR,MANILA-LUNETA-T.M. KALAW,13
1916,1684,PRT,CMM-5,MANILA-PORT AREA,01008-050-2,01008-050-2,CMMR,MANILA-PORT AREA,13
1917,1685,UNA,SMM-3,MANILA-U.N. AVE.,01008-025-6,01008-025-6,SMMR,MANILA-U.N. AVE.,17
1918,1701,ADR,SMM-3,MANILA-MALATE-ADRIATICO,01008-177-6,01008-177-6,SMMR,MANILA-MALATE-ADRIATICO,17
1919,1702,CPS,SMM-3,MANILA-CENTURY PARK HOTEL,01008-147-5,01008-147-5,SMMR,MANILA-CENTURY PARK HOTEL,17
1920,1703,PLZ,SMM-3,MANILA-ADRIATICO-HARRISON PLAZA,01008-011-7,01008-011-7,SMMR,MANILA-ADRIATICO-HARRISON PLAZA,17
1923,1706,PAC,SMM-3,MANILA-PACO-PEDRO GIL,01008-130-7,01008-130-7,SMMR,MANILA-PACO-PEDRO GIL,17
1924,1707,RMS,SMM-3,MANILA-REMEDIOS,01008-239-3,01008-239-3,SMMR,MANILA-REMEDIOS,17
1928,1711,MSA,CMM-6,MANILA-STA. ANA,01008-277-5,01008-277-5,CMMR,MANILA-STA. ANA,14
1931,2002,BLW,NOL 4,BULACAN-BALIUAG,13008-005-5,13008-005-5,NOL,BULACAN-BALIUAG,26
1932,2003,BOC,NOL 4,BULACAN-BOCAUE,13008-018-1,13008-018-1,NOL,BULACAN-BOCAUE,26
1933,2004,MLL,NOL 4,MALOLOS CITY-STO. NIÑO,13008-007-1,13008-007-1,NOL,MALOLOS CITY-STO. NIÑO,26
1934,2005,MLS,NOL 4,MALOLOS CITY-MACARTHUR HI-WAY,13008-019-4,13008-019-4,NOL,MALOLOS CITY-MACARTHUR HI-WAY,26
1937,2008,PLD,NOL 4,BULACAN-PLARIDEL,13008-016-5,13008-016-5,NOL,BULACAN-PLARIDEL,26
1939,2010,SJD,NOL 4,SAN JOSE DEL MONTE-QUIRINO HI-WAY,13008-013-6,13008-013-6,NOL,SAN JOSE DEL MONTE-QUIRINO HI-WAY,26
1941,2012,STM,NOL 4,BULACAN-STA. MARIA,13008-008-4,13008-008-4,NOL,BULACAN-STA. MARIA,26
1942,2013,BPR,NOL 4,BULACAN-PULILAN-RIS6,13008-027-5,13008-027-5,NOL,BULACAN-PULILAN-RIS6,26
1943,2026,AGL,NOL 5,ANGELES-STO. ROSARIO,06008-001-5,06008-001-5,NOL,ANGELES-STO. ROSARIO,27
1944,2027,AES,NOL 5,ANGELES-MACARTHUR HIGHWAY,06008-016-7,06008-016-7,NOL,ANGELES-MACARTHUR HIGHWAY,27
1945,2028,ALT,NOL 5,PAMPANGA-APALIT,06008-009-9,06008-009-9,NOL,PAMPANGA-APALIT,27
1946,2029,CPT,NOL 8,TARLAC-CAPAS,22008-007-5,22008-007-5,NOL,TARLAC-CAPAS,30
1947,2030,CLF,NOL 5,PAMPANGA-CLARK FIELD,06008-010-9,06008-010-9,NOL,PAMPANGA-CLARK FIELD,27
1952,2035,CKP,NOL 5,PAMPANGA-MABALACAT-MABIGA,06008-015-4,06008-015-4,NOL,PAMPANGA-MABALACAT-MABIGA,27
1953,2036,MBB,NOL 5,PAMPANGA-MACABEBE,06008-004-4,06008-004-4,NOL,PAMPANGA-MACABEBE,27
1954,2037,SGP,NOL 5,SAN FERNANDO CITY-SINDALAN,06008-014-1,06008-014-1,NOL,SAN FERNANDO CITY-SINDALAN,27
1957,2040,LPS,NOL 5,PAMPANGA-SAN SIMON,06008-018-3,06008-018-3,NOL,PAMPANGA-SAN SIMON,27
1963,2056,LBO,NOL 5,PAMPANGA-LUBAO,06008-017-0,06008-017-0,NOL,PAMPANGA-LUBAO,27
1966,2059,OLO,NOL 6,OLONGAPO CITY-MAGSAYSAY DRIVE,28008-005-7,28008-005-7,NOL,OLONGAPO CITY-MAGSAYSAY DRIVE,28
1968,2061,SBC,NOL 6,OLONGAPO CITY-SUBIC BAY,28008-003-1,28008-003-1,NOL,OLONGAPO CITY-SUBIC BAY,28
1970,2077,CLG,NOL 7,PANGASINAN-BAYAMBANG,05008-013-5,05008-013-5,NOL,PANGASINAN-BAYAMBANG,29
1971,2078,CML,NOL 8,TARLAC-CAMILING,22008-006-2,22008-006-2,NOL,TARLAC-CAMILING,30
1833,1462,PMN,SMM-8,LAS PIÑAS-PAMPLONA,01008-216-0,01008-216-0,SMMR,LAS PIÑAS-PAMPLONA,22
1834,1463,SMA,SMM-8,LAS PIÑAS – EVIA LIFESTYLE CENTER,01008-259-7,01008-259-7,SMMR,LAS PIÑAS – EVIA LIFESTYLE CENTER,22
1838,1477,BFH,SMM-7,PARAÑAQUE-BF HOMES-PRES. AVE.,01008-201-8,01008-201-8,SMMR,PARAÑAQUE-BF HOMES-PRES. AVE.,21
1840,1479,BAC,SMM-5,PARANAQUE-BF HOMES-PHASE 3 to 1478,01008-161-1,01008-161-1,SMMR,PARANAQUE-BF HOMES-PHASE 3 to 1478,19
1843,1482,FTI,SMM-7,TAGUIG-FTI COMPLEX,01008-010-4,01008-010-4,SMMR,TAGUIG-FTI COMPLEX,21
1845,1484,NNY,SMM-5,NAIA 1-ARRIVAL AREA to 1483,01008-048-9,01008-048-9,SMMR,NAIA 1-ARRIVAL AREA to 1483,19
1849,1488,PTO,VISAYAS 1,PALAWAN-PUERTO PRINCESA-VALENCIA,35008-001-3,35008-001-3,VISAYAS,PALAWAN-PUERTO PRINCESA-VALENCIA,38
1851,1490,SCT,SMM-7,PARAÑAQUE-SUCAT-A. SANTOS,01008-081-6,01008-081-6,SMMR,PARAÑAQUE-SUCAT-A. SANTOS,21
1852,1491,SUT,SMM-7,PARAÑAQUE-SUCAT-EVACOM,01008-173-4,01008-173-4,SMMR,PARAÑAQUE-SUCAT-EVACOM,21
1853,1492,UPQ,SMM-7,PARAÑAQUE-EAST SERVICE ROAD,01008-160-8,01008-160-8,SMMR,PARAÑAQUE-EAST SERVICE ROAD,21
1855,1501,BKL,SMM-4,MAKATI-BANGKAL,01008-073-5,01008-073-5,SMMR,MAKATI-BANGKAL,18
1856,1503,BSP,SMM-3,MANILA-BSP,01008-040-5,01008-040-5,SMMR,MANILA-BSP,17
1858,1505,DTC,SMM-7,PASAY-DOMESTIC AIRPORT RD.,01008-214-4,01008-214-4,SMMR,PASAY-DOMESTIC AIRPORT RD.,21
1860,1507,EDX,SMM-5,PASAY-EDSA EXTENSION,01008-174-7,01008-174-7,SMMR,PASAY-EDSA EXTENSION,19
1862,1510,PAS,SMM-5,PASAY-BACLARAN,01008-021-4,01008-021-4,SMMR,PASAY-BACLARAN,19
1863,1511,PED,SMM-5,PASAY-EDSA,01008-182-8,01008-182-8,SMMR,PASAY-EDSA,19
1864,1512,LIB,SMM-5,PASAY-LIBERTAD,01008-163-7,01008-163-7,SMMR,PASAY-LIBERTAD,19
1866,1514,RXB,SMM-5,PASAY-ROXAS BLVD.,01008-037-9,01008-037-9,SMMR,PASAY-ROXAS BLVD.,19
1868,1516,LQB,SMM-3,Q.C.-BSP,01008-282-7,01008-282-7,SMMR,Q.C.-BSP,17
1871,1601,BND,SMM-1,BINONDO-SAN FERNANDO,01008-043-4,01008-043-4,SMMR,BINONDO-SAN FERNANDO,15
1874,1604,DMK,SMM-6,MAKATI-LEGASPI SOTTO,01008-164-0,01008-164-0,SMMR,MAKATI-LEGASPI SOTTO,20
