ID,UNITID,UNITDESC,EID,EXCEPTION
1,ACRU,ACRU – MICR file,ACRU1,NO MICR IN FTP FOLDER
2,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU1,NO CHECKLIST
3,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU2,CHECKLIST – NO BRANCH NAME
4,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU3,CHECKLIST – NO BRANCH CODE
5,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU4,CHECKLIST – WRONG BRANCH CODE
6,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU5,CHECKLIST – NO DOCUMENT TYPE INDICATED
7,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU6,CHECKLIST – NO NUMBER OF ENVELOPES INDICATED
8,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU7,CHECKLIST – WRONG NUMBER OF ENVELOPES INDICATED
9,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU8,CHECKLIST- NO SIGNATURE AFFIXED
10,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU9,NO TRANSMITTAL
11,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU10,TRANSMITTAL – NO BRANCH NAME
12,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU11,TRANSMITTAL – NO BRANCH CODE
13,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU12,TRANSMITTAL – WRONG BRANCH CODE
14,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU13,TRANSMITTAL – NO NUMBER OF ITEMS
15,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU14,TRANSMITTAL – WRONG NUMBER OF ITEMS INDICATED
16,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU15,TRANSMITTAL – NO SIGNATURE AFFIXED
17,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU16,DELIVERY WITH MAILS NOT FOR COC
18,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU17,DELIVERY OF MC NEGOTIATED OVER-THE-COUNTER
19,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU18,LATE DELIVERY
20,BSS,"BANK STATEMENT SECTION – OTC, ICC, and OBCK",BSSU19,OTHERS
21,EDAT,E-DATA UNIT – Checks issued by client/s,EDAT1,NOT IN CHECK INVENTORY
22,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU1,CHECK – MISSING PAYEE
23,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU2,CHECK – MISSING SIGNATURE
24,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU3,CHECK – MISSING DATE
25,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU4,CHECK – POST DATED
26,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU5,CHECK – STALE DATED
27,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU6,CHECK – OUT OF DATE
28,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU7,CHECK - AMOUNT IN WORDS AND IN FIGURES DIFFERS
30,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU9,CHECK - NO BANK GUARANTEED ENDORSEMENT STAMP
31,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU10,CHECK - NO ACCOUNT NUMBER AT DORSAL SIDE
32,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU11,CHECK - AMOUNT IN FIGURES/WORDS MISSING
33,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU12,CHECK - AMOUNT OVER/UNDER TAKE-UP
48,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU27,WRONG CURRENCY TAKE-UP
49,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU28,UNPOSTED ITEM
50,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU29,CAPF - INCORRECT CHARGES COLLECTED
52,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU31,ACCEPTED INTERBRANCH DEPOSIT
53,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU32,CAPF - BENEFICIARY ACCT. NO. FILLED-OUT BY BRANCH
54,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU33,NO CLS
61,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU40,NO CAPF
62,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU41,CAPF – BRANCH FILLED-OUT COC PORTION
63,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU42,CAPF – LACK/INCORRECT COLLECTION REFERENCE NO.
64,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU43,CAPF – NO CHARGES COLLECTED
65,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU44,CHECK - NO WITNESSES ON CLIENT'S THUMBMARK
66,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU45,CHECK - INCOMPLETE WITNESS ON CLIENT'S THUMBMARK
67,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU46,WRONG TAKE-UP OF US TREASURY WARRANT
68,FXCU,"FX SECTION – FDR, Collection Items, CLS and CAPF",FXCU47,OTHERS
69,INWA,INWARD UNIT – TDC Advice,INWA1,NO TDC ADVICE
70,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA2,CHECK WITH IMAGE USABILITY FAILURE
71,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA3,CHECK PREVIOUSLY NEGOTIATED
72,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA4,CHECK WITH ALTERATION
73,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA5,CHECK IN OLD FORMAT
74,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA6,CHECK - MISSING PAYEE
75,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA7,CHECK - MISSING DATE
76,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA8,CHECK - MISSING SIGNATURE
77,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA9,CHECK - POST DATED
78,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA10,CHECK - STALE DATED
79,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA11,CHECK - OUT OF DATE
80,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA12,CHECK WITH AMOUNT IN WORDS AND FIGURES DIFFERS
81,INWA,INWARD UNIT – Returned checks per RCA and SRCA,INWA13,OTHERS
82,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW1,NO UIC
83,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW2,NO BANK GUARANTEE STAMP
84,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW3,UNREADABLE BANK GUARANTEE STAMP
85,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW4,NO 2ND PRESENTMENT STAMP
86,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW5,UNREADABLE 2ND PRESENTMENT STAMP
87,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW6,NO RETURN STAMP
88,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW7,UNREADABLE RETURN STAMP
89,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW8,INCOMPLETE DETAILS ON RETURN STAMP
90,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW9,UNTAGGED BIR
91,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW10,UNDER-ENCODED CHECK AMOUNT
92,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW11,OVER-ENCODED CHECK AMOUNT
93,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW12,NOT TAGGED AS REPRESENTMENT (2ND PRESENTMENT CHECK)
94,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW13,DID NOT USE OWN BRSTN IN CICS PROCESS
95,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW14,DID NOT APPROVE BATCH IN ‘BATCH VERIFICATION’
96,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW15,DID NOT PERFORM ‘GENERATE OUTWARD ICL’
98,OUTW,OUTWARD UNIT – Outward checks and CICS process,OUTW17,OTHERS
100,ACRU,ACRU – MICR file,ACRU3,MC EXCEPTION
