IdCtr,Id,Name,UnitAcro,EID
1,1,NO MICR IN FTP FOLDER,ACRU,ACRU1
2,2,NO CHECKLIST,BSSU,BSSU1
3,2,CHECKLIST – NO BRANCH NAME,BSSU,BSSU2
4,2,CHECKLIST – NO BRANCH CODE,BSSU,BSSU3
5,2,CHECKLIST – WRONG BRANCH CODE,BSSU,BSSU4
6,2,CHECKLIST – NO DOCUMENT TYPE INDICATED,BSSU,BSSU5
7,2,CHECKLIST – NO NUMBER OF ENVELOPES INDICATED,BSSU,BSSU6
8,2,CHECKLIST – WRONG NUMBER OF ENVELOPES INDICATED,BSSU,BSSU7
9,2,CHECKLIST- NO SIGNATURE AFFIXED,BSSU,BSSU8
10,2,NO TRANSMITTAL,BSSU,BSSU9
11,2,TRANSMITTAL – NO BRANCH NAME,BSSU,BSSU10
12,2,TRANSMITTAL – NO BRANCH CODE,BSSU,BSSU11
13,2,TRANSMITTAL – WRONG BRANCH CODE,BSSU,BSSU12
14,2,TRANSMITTAL – NO NUMBER OF ITEMS,BSSU,BSSU13
15,2,TRANSMITTAL – WRONG NUMBER OF ITEMS INDICATED,BSSU,BSSU14
16,2,TRANSMITTAL – NO SIGNATURE AFFIXED,BSSU,BSSU15
17,2,DELIVERY WITH MAILS NOT FOR COC,BSSU,BSSU16
18,2,DELIVERY OF MC NEGOTIATED OVER-THE-COUNTER,BSSU,BSSU17
19,2,LATE DELIVERY,BSSU,BSSU18
20,2,OTHERS,BSSU,BSSU19
21,3,NOT IN CHECK INVENTORY,EDAT,EDAT1
22,4,CHECK – MISSING PAYEE,FXCU,FXCU1
23,4,CHECK – MISSING SIGNATURE,FXCU,FXCU2
24,4,CHECK – MISSING DATE,FXCU,FXCU3
25,4,CHECK – POST DATED,FXCU,FXCU4
26,4,CHECK – STALE DATED,FXCU,FXCU5
27,4,CHECK – OUT OF DATE,FXCU,FXCU6
28,4,CHECK - AMOUNT IN WORDS AND IN FIGURES DIFFERS,FXCU,FXCU7
29,4,CHECK - NO BANK GUARANTEED ENDORSEMENT STAMP,FXCU,FXCU9
30,4,CHECK - NO ACCOUNT NUMBER AT DORSAL SIDE,FXCU,FXCU10
31,4,CHECK - AMOUNT IN FIGURES/WORDS MISSING,FXCU,FXCU11
32,4,CHECK - AMOUNT OVER/UNDER TAKE-UP,FXCU,FXCU12
33,4,WRONG CURRENCY TAKE-UP,FXCU,FXCU27
34,4,UNPOSTED ITEM,FXCU,FXCU28
35,4,CAPF - INCORRECT CHARGES COLLECTED,FXCU,FXCU29
36,4,ACCEPTED INTERBRANCH DEPOSIT,FXCU,FXCU31
37,4,CAPF - BENEFICIARY ACCT. NO. FILLED-OUT BY BRANCH,FXCU,FXCU32
38,4,NO CLS,FXCU,FXCU33
39,4,NO CAPF,FXCU,FXCU40
40,4,CAPF – BRANCH FILLED-OUT COC PORTION,FXCU,FXCU41
41,4,CAPF – LACK/INCORRECT COLLECTION REFERENCE NO.,FXCU,FXCU42
42,4,CAPF – NO CHARGES COLLECTED,FXCU,FXCU43
43,4,CHECK - NO WITNESSES ON CLIENTS THUMBMARK,FXCU,FXCU44
44,4,CHECK - INCOMPLETE WITNESS ON CLIENTS THUMBMARK,FXCU,FXCU45
45,4,WRONG TAKE-UP OF US TREASURY WARRANT,FXCU,FXCU46
46,4,OTHERS,FXCU,FXCU47
47,5,NO TDC ADVICE,INWA,INWA1
48,5,CHECK WITH IMAGE USABILITY FAILURE,INWA,INWA2
49,5,CHECK PREVIOUSLY NEGOTIATED,INWA,INWA3
50,5,CHECK WITH ALTERATION,INWA,INWA4
51,5,CHECK IN OLD FORMAT,INWA,INWA5
52,5,CHECK - MISSING PAYEE,INWA,INWA6
53,5,CHECK - MISSING DATE,INWA,INWA7
54,5,CHECK - MISSING SIGNATURE,INWA,INWA8
55,5,CHECK - POST DATED,INWA,INWA9
56,5,CHECK - STALE DATED,INWA,INWA10
57,5,CHECK - OUT OF DATE,INWA,INWA11
58,5,CHECK WITH AMOUNT IN WORDS AND FIGURES DIFFERS,INWA,INWA12
59,5,OTHERS,INWA,INWA13
60,6,NO UIC,OUTW,OUTW1
61,6,NO BANK GUARANTEE STAMP,OUTW,OUTW2
62,6,UNREADABLE BANK GUARANTEE STAMP,OUTW,OUTW3
63,6,NO 2ND PRESENTMENT STAMP,OUTW,OUTW4
64,6,UNREADABLE 2ND PRESENTMENT STAMP,OUTW,OUTW5
65,6,NO RETURN STAMP,OUTW,OUTW6
66,6,UNREADABLE RETURN STAMP,OUTW,OUTW7
67,6,INCOMPLETE DETAILS ON RETURN STAMP,OUTW,OUTW8
68,6,UNTAGGED BIR,OUTW,OUTW9
69,6,UNDER-ENCODED CHECK AMOUNT,OUTW,OUTW10
70,6,OVER-ENCODED CHECK AMOUNT,OUTW,OUTW11
71,6,NOT TAGGED AS REPRESENTMENT (2ND PRESENTMENT CHECK),OUTW,OUTW12
72,6,DID NOT USE OWN BRSTN IN CICS PROCESS,OUTW,OUTW13
73,6,DID NOT APPROVE BATCH IN ‘BATCH VERIFICATION’,OUTW,OUTW14
74,6,DID NOT PERFORM ‘GENERATE OUTWARD ICL’,OUTW,OUTW15
75,6,OTHERS,OUTW,OUTW17
