TYPE,REGION,RGNAME,AREA,CODE,ACRO,BRNAME,EMAIL
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0557,HYU,MANDALUYONG CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0560,HUA,ANGELES CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0561,HUC,CEBU CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0562,HUD,DAVAO CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0563,HID,ILOILO CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0566,HUB,BACOOR CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0567,HPU,DAGUPAN CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0568,HUU,LA UNION CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0569,HUI,LAOAG CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0570,HUT,CABANATUAN CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0571,HUY,CAUAYAN CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0572,HUS,SANTIAGO CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0573,HTU,TUGUEGARAO CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0574,HUN,CALAMBA CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0575,HBT,BATANGAS CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0576,HUQ,LUCENA CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0577,HUP,LEGAZPI CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0578,HNU,NAGA CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0580,HUK,TACLOBAN CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0581,HUR,ROXAS CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0582,HBK,BACOLOD CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0583,HDM,DUMAGUETE CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0585,HBU,BUTUAN CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0586,HUG,CAGAYAN DE ORO CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0587,HUO,COTABATO CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0588,HGS,GENERAL SANTOS CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0589,HIU,ILIGAN CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0590,HOU,OZAMIS CASH CASH CENTER,
CCC,CASH CENTER,CASH CENTER,CASH CENTER,0591,HUZ,ZAMBOANGA CASH CENTER,
BBG,CMMR,CENTRAL METRO MANILA 1,CMM-1,1003,MLB,MALABON-F. SEVILLA,
BBG,CMMR,CENTRAL METRO MANILA 1,CMM-1,1031,EKA,CALOOCAN-MACARTHUR HIGHWAY,
BBG,CMMR,CENTRAL METRO MANILA 5,CMM-5,1680,LNT,MANILA-LUNETA-T.M. KALAW,
BBG,CMMR,CENTRAL METRO MANILA 5,CMM-5,1684,PRT,MANILA-PORT AREA,
BBG,CMMR,CENTRAL METRO MANILA 6,CMM-6,1681,PFA,MANILA-PADRE FAURA,
BBG,CMMR,CENTRAL METRO MANILA 6,CMM-6,1709,TFT,MANILA-TAFT AVE.-ONE ARCHERS,
BBG,CMMR,CENTRAL METRO MANILA 6,CMM-6,1711,MSA,MANILA-STA. ANA,
DEP,HEAD OFFICE,HEAD OFFICE,HEAD OFFICE,0555,HUM,CSMC - TRANSACTION SERVICING SECTION,csmctss@pnb.com.ph
DEP,HEAD OFFICE,HEAD OFFICE,HEAD OFFICE,0802,HCL,CONSUMER LOAN OPERATIONS DEPARTMENT,lisd_accounting_consumer@pnb.com.ph
DEP,HEAD OFFICE,HEAD OFFICE,HEAD OFFICE,0803,HOL,CORPORATE LOAN OPERATIONS DEPARTMENT,hld-commercialbilling@pnb.com.ph
DEP,HEAD OFFICE,HEAD OFFICE,HEAD OFFICE,6117,HND,SB - LOANS DIVISION,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4001,BJD,DAVAO-OBRERO,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4002,BNG,DAVAO-BANGOY,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4003,BKR,DAVAO-ATENEO,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4005,DVO,DAVAO-SAN PEDRO-C.M. RECTO,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4007,LNG,DAVAO-LANANG,
BBG,MINDANAO,MINDANAO 1,MINDANAO 1,4008,DSP,DAVAO-SAN PEDRO,
